,precision,recall,f1-score,support
Negative,0.18181818181818182,0.09803921568627451,0.12738853503184713,102.0
Other/Mixed,0.5694444444444444,0.6,0.5843230403800475,205.0
Positive,0.7363636363636363,0.7879377431906615,0.7612781954887218,514.0
accuracy,0.6552984165651644,0.6552984165651644,0.6552984165651644,0.6552984165651644
macro avg,0.49587542087542086,0.4953256529589787,0.4909965903002054,821.0
weighted avg,0.6257886415925392,0.6552984165651644,0.6383396423049466,821.0
